Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,GERB,GERB—SDS,BSPzB,OP,VMRO,NFSB,Ataka,ABV,DPS,Volya,RB,DB,DSB,Da!,ITN,IBG-NI,Vazrazhdane,RzB,NFSB+Volya,BP,PP,BV,PP–DB,Levitsata!,NDSV,Other
Тренд,Nova,2021-07-03,2021-07-07,National,1002,Provided,51.0%,0.1%,Not Available,20.5%,15.9%,Not Available,Not Available,Not Available,Not Available,Not Available,11.3%,Not Available,Not Available,12.4%,Not Available,Not Available,21.3%,5.1%,3.1%,Not Available,Not Available,3.9%,Not Available,Not Available,Not Available,Not Available,Not Available,6.5%
Gallup,BNR,2021-06-30,2021-07-07,National,1010,Provided,50.0%,0.1%,Not Available,20.3%,15.9%,Not Available,Not Available,Not Available,Not Available,Not Available,11.5%,Not Available,Not Available,12.2%,Not Available,Not Available,21.3%,6.1%,3.1%,Not Available,Not Available,4%,Not Available,Not Available,Not Available,Not Available,Not Available,5.6%
Sova Harris,Dir.bg,2021-07-02,2021-07-06,National,1000,Provided,49.6%,0.1%,Not Available,22.6%,16%,Not Available,Not Available,Not Available,Not Available,Not Available,10.9%,Not Available,Not Available,10.6%,Not Available,Not Available,22.1%,5.3%,Not Available,Not Available,Not Available,4.5%,Not Available,Not Available,Not Available,Not Available,Not Available,8%
Exacta,,2021-07-01,2021-07-05,National,1005,Provided,48.0%,0.1%,Not Available,21.4%,15.9%,Not Available,Not Available,Not Available,Not Available,Not Available,11.2%,Not Available,Not Available,12.8%,Not Available,Not Available,20.8%,4.8%,2.8%,Not Available,Not Available,4%,Not Available,Not Available,Not Available,Not Available,Not Available,6.4%
Медиана,,2021-06-26,2021-07-02,National,920,Provided,Not Available,0.1%,Not Available,22.5%,20.6%,Not Available,Not Available,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,10%,Not Available,Not Available,21.7%,5.1%,2.2%,Not Available,Not Available,4.8%,Not Available,Not Available,Not Available,Not Available,Not Available,2%
Nasoca,,2021-06-23,2021-06-30,National,1025,Provided,51.2%,0.1%,Not Available,21.4%,15.8%,Not Available,Not Available,Not Available,Not Available,Not Available,10.5%,Not Available,Not Available,11.3%,Not Available,Not Available,20.5%,5.3%,2.3%,Not Available,Not Available,4.4%,Not Available,Not Available,Not Available,Not Available,Not Available,8.5%
Маркет ЛИНКС,bTV,2021-06-18,2021-06-25,National,1075,Provided,58.0%,0.1%,Not Available,23.1%,17.1%,Not Available,Not Available,Not Available,Not Available,Not Available,9.1%,Not Available,Not Available,13.3%,Not Available,Not Available,21.9%,6.6%,3%,Not Available,Not Available,3.2%,Not Available,Not Available,Not Available,Not Available,Not Available,2.7%
Тренд,24 часа,2021-06-11,2021-06-18,National,1003,Provided,48.0%,0.1%,Not Available,21.7%,16.1%,Not Available,Not Available,Not Available,Not Available,Not Available,10.9%,Not Available,Not Available,11.2%,Not Available,Not Available,20.2%,5%,2.3%,Not Available,Not Available,3.9%,Not Available,Not Available,Not Available,Not Available,Not Available,8.7%
Медиана,,2021-06-10,2021-06-15,National,1008,Provided,Not Available,0.1%,Not Available,21.4%,21.3%,Not Available,Not Available,Not Available,Not Available,Not Available,11.2%,Not Available,Not Available,7.2%,Not Available,Not Available,24%,6.9%,1.5%,Not Available,Not Available,5.1%,Not Available,Not Available,Not Available,Not Available,Not Available,1.4%
Sova Harris,Dir.bg,2021-06-10,2021-06-15,National,1000,Provided,48.4%,0.1%,Not Available,22.4%,18.7%,Not Available,Not Available,Not Available,Not Available,Not Available,11.4%,Not Available,Not Available,11.1%,Not Available,Not Available,21.7%,5.4%,Not Available,Not Available,Not Available,4.9%,Not Available,Not Available,Not Available,Not Available,Not Available,4.4%
Gallup,BNR,2021-06-03,2021-06-11,National,1012,Provided,58.2%,0.1%,Not Available,21%,15.9%,Not Available,Not Available,Not Available,Not Available,Not Available,11.9%,Not Available,Not Available,12.1%,Not Available,Not Available,21.2%,5.8%,2.7%,Not Available,Not Available,3.5%,Not Available,Not Available,Not Available,Not Available,Not Available,5.9%
Алфа рисърч,,2021-05-30,2021-06-07,National,1007,Provided,53.2%,0.1%,Not Available,20.3%,14.4%,Not Available,Not Available,Not Available,Not Available,Not Available,9.9%,Not Available,Not Available,11.9%,Not Available,Not Available,18.2%,5.3%,2.8%,Not Available,Not Available,3.4%,Not Available,Not Available,Not Available,Not Available,Not Available,13.8%
Маркет ЛИНКС,bTV,2021-05-19,2021-05-27,National,1067,Provided,63.0%,0.1%,Not Available,23.7%,19.3%,Not Available,3.3%,Not Available,Not Available,Not Available,10.6%,Not Available,Not Available,13.3%,Not Available,Not Available,19.8%,4.7%,2%,Not Available,1.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2%
Център за анализи и маркетинг,,2021-05-14,2021-05-21,National,Not Available,Not Available,Not Available,0.1%,Not Available,23.8%,18%,Not Available,Not Available,Not Available,Not Available,Not Available,10.5%,0.5%,Not Available,11.4%,Not Available,Not Available,20.9%,4.4%,1.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.7%
Gallup,,2021-05-07,2021-05-14,National,812,Provided,57.9%,0.1%,Not Available,22.8%,16.1%,Not Available,3.1%,Not Available,Not Available,Not Available,11.2%,1.4%,Not Available,11.6%,Not Available,Not Available,20.1%,5.6%,2.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.5%
Маркет ЛИНКС,bTV,2021-04-16,2021-04-23,National,1053,Provided,60.0%,0.1%,Not Available,23.2%,18.1%,Not Available,3.3%,Not Available,Not Available,Not Available,10.3%,Not Available,Not Available,13.1%,Not Available,Not Available,22.3%,6.5%,1.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.4%
Gallup,BNR,2021-03-24,2021-03-31,National,1013,Provided,40.0%,0.1%,Not Available,28.2%,20.8%,Not Available,4.4%,Not Available,0.6%,1.4%,12.7%,Not Available,Not Available,6.1%,Not Available,Not Available,12.9%,5.2%,1.6%,1.3%,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.8%
Алфа рисърч,,2021-03-27,2021-03-30,National,1007,Provided,51.0%,0.1%,Not Available,28.1%,19.8%,Not Available,4%,Not Available,1.2%,0.9%,12.5%,Not Available,Not Available,6.3%,Not Available,Not Available,12.7%,6%,1.7%,0.8%,3.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.9%
Център за анализи и маркетинг,,2021-03-27,2021-03-30,National,812,Provided,40.0%,0.1%,Not Available,28.6%,19.5%,Not Available,4.3%,Not Available,1.1%,1.1%,13.2%,Not Available,Not Available,6.1%,Not Available,Not Available,12.5%,4.5%,1.7%,0.8%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.9%
Тренд,Nova,2021-03-26,2021-03-30,National,1005,Provided,47.0%,0.1%,Not Available,28.6%,21.8%,Not Available,4.3%,Not Available,Not Available,1.1%,12.4%,Not Available,Not Available,5.9%,Not Available,Not Available,12.6%,4.8%,1.6%,1.1%,3.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.6%
AFIS,,2021-03-26,2021-03-30,National,1000,Provided,38.0%,0.1%,Not Available,28.1%,20.2%,Not Available,4.6%,Not Available,Not Available,1.4%,12.9%,Not Available,Not Available,6%,Not Available,Not Available,14.3%,5.1%,2%,Not Available,2.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.6%
Exacta,,2021-03-23,2021-03-29,National,1005,Provided,45.0%,0.1%,Not Available,28.5%,20%,Not Available,4.3%,Not Available,Not Available,Not Available,12.4%,Not Available,Not Available,6.7%,Not Available,Not Available,13%,4.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.8%
Рего,,2021-03-25,2021-03-28,National,1004,Provided,74.3%,0.1%,Not Available,25.5%,28.2%,Not Available,3.1%,Not Available,Not Available,Not Available,9.0%,Not Available,Not Available,5.2%,Not Available,Not Available,15.7%,6.9%,1.6%,Not Available,1.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.3%
Център за анализи и маркетинг,Pik,2021-03-19,2021-03-23,National,1000,Provided,Not Available,0.1%,Not Available,29.9%,21%,Not Available,4.4%,Not Available,1.1%,1.0%,11.2%,Not Available,Not Available,5.8%,Not Available,Not Available,11.5%,4.3%,1.2%,1.5%,2.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.8%
Маркет ЛИНКС,bTV,2021-03-18,2021-03-23,National,1026,Provided,46.0%,0.1%,Not Available,25.7%,22%,Not Available,3.8%,Not Available,Not Available,Not Available,11.5%,Not Available,Not Available,7.1%,Not Available,Not Available,16.4%,5.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.0%
Медиана,,2021-03-16,2021-03-23,National,1004,Provided,60.0%,0.1%,Not Available,27%,23%,Not Available,4.2%,Not Available,Not Available,1.6%,11.3%,Not Available,Not Available,4.7%,Not Available,Not Available,13.5%,6.7%,1.5%,Not Available,4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.5%
Sova Harris,Trud,2021-03-11,2021-03-16,National,1000,Provided,43.0%,0.1%,Not Available,30.7%,24%,Not Available,4.8%,Not Available,0.3%,1.2%,11.5%,Not Available,Not Available,5.6%,Not Available,Not Available,11.8%,4.8%,0.7%,1.7%,2.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.6%
Тренд,24 часа,2021-03-09,2021-03-14,National,1004,Provided,45.0%,0.1%,Not Available,28.8%,23.6%,Not Available,4.0%,Not Available,0.8%,1.1%,12.1%,Not Available,Not Available,5.9%,Not Available,Not Available,12.7%,4.1%,1.1%,0.8%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.5%
Алфа рисърч,bTV,2021-02-26,2021-03-01,National,1013,Provided,52.5%,0.1%,Not Available,28.5%,23.2%,Not Available,3.7%,Not Available,0.5%,0.9%,12.5%,Not Available,Not Available,5.7%,Not Available,Not Available,13.3%,4.5%,0.7%,0.9%,1.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.8%
Gallup,BNR/BNT,2021-02-22,2021-03-01,National,1008,Provided,53.0%,0.1%,Not Available,27.5%,23.2%,Not Available,4.2%,Not Available,0.6%,1.0%,12.5%,Not Available,Not Available,6.5%,Not Available,Not Available,13.2%,4.5%,1.3%,0.8%,2.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.0%
Медиана,,2021-02-22,2021-02-26,National,943,Provided,61.0%,0.1%,Not Available,27.5%,24.2%,Not Available,4.0%,Not Available,Not Available,1.4%,10.7%,Not Available,Not Available,4.2%,Not Available,Not Available,15.2%,5.0%,Not Available,Not Available,3.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.7%
Маркет ЛИНКС,bTV,2021-02-17,2021-02-24,National,1019,Provided,50.6%,0.1%,Not Available,26.5%,21.6%,Not Available,3.2%,Not Available,Not Available,Not Available,10.1%,Not Available,Not Available,7.3%,Not Available,Not Available,19.1%,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.0%
Exacta,,2021-02-15,2021-02-22,National,1005,Provided,60.0%,0.1%,Not Available,26.4%,22.3%,Not Available,Not Available,Not Available,Not Available,Not Available,8.5%,Not Available,Not Available,5.1%,Not Available,Not Available,13.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24.2%
Тренд,24 часа/BNT,2021-02-12,2021-02-19,National,1008,Provided,47.0%,0.1%,Not Available,28.9%,24.1%,Not Available,3.8%,Not Available,Not Available,Not Available,11.1%,Not Available,Not Available,6.2%,Not Available,Not Available,12.9%,4.0%,1.1%,Not Available,2.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.3%
AFIS,,2021-02-12,2021-02-17,National,1000,Provided,43.9%,0.1%,Not Available,25.2%,22.5%,Not Available,3.2%,Not Available,1.6%,1.6%,11.5%,Not Available,Not Available,5.6%,Not Available,Not Available,14.2%,4.1%,2.2%,1.4%,2.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.9%
Gallup,,2021-02-04,2021-02-12,National,1011,Provided,43.0%,0.1%,Not Available,25.8%,21.9%,Not Available,4.2%,Not Available,0.3%,Not Available,12.4%,Not Available,Not Available,6.8%,Not Available,Not Available,13.1%,4.7%,Not Available,Not Available,2.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.4%
Маркет ЛИНКС,bTV,2021-01-23,2021-01-31,National,1000,Provided,Not Available,0.1%,28.6%,Not Available,20.9%,3.4%,Not Available,Not Available,Not Available,Not Available,11.9%,Not Available,Not Available,10.7%,Not Available,Not Available,15.5%,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.8%
Sova Harris,,2020-01-26,2021-01-31,National,1000,Provided,Not Available,0.1%,27.1%,Not Available,24.9%,Not Available,4.4%,1.7%,1.3%,1.7%,9.3%,2.8%,Not Available,4.1%,Not Available,Not Available,15.5%,4.7%,1.1%,1.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Тренд,24 часа,2021-01-12,2021-01-19,National,1008,Provided,100.0%,0.1%,27.6%,Not Available,24.9%,4%,Not Available,Not Available,0.7%,0.5%,10.3%,1.3%,Not Available,6%,Not Available,Not Available,11.8%,4.1%,1.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.7%
Gallup,,2021-01-07,2021-01-15,National,1010,Provided,89.6%,0.1%,Not Available,25.6%,21.4%,5.1%,Not Available,Not Available,Not Available,Not Available,12.2%,2.3%,Not Available,6.9%,Not Available,Not Available,13.8%,5%,1.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.0%
Алфа рисърч,,2020-12-15,2020-12-21,National,504,Provided,83.7%,0.1%,29%,Not Available,26.2%,3.2%,Not Available,Not Available,Not Available,Not Available,8.6%,Not Available,Not Available,7.3%,Not Available,Not Available,12.2%,5.9%,0.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.0%
Медиана,,2020-12-12,2020-12-17,National,954,Provided,76.6%,0.1%,24.2%,Not Available,25.7%,4.7%,Not Available,Not Available,Not Available,Not Available,10.8%,1.6%,Not Available,3.4%,Not Available,Not Available,17%,4.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.8%
Exacta,,2020-12-05,2020-12-12,National,1025,Provided,64.5%,0.1%,28.8%,Not Available,25.6%,5.4%,Not Available,Not Available,Not Available,Not Available,8.4%,Not Available,Not Available,6%,Not Available,Not Available,14%,3.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.1%
Sova Harris,,2020-10-27,2020-11-03,National,1000,Provided,Not Available,0.1%,Not Available,26.6%,25.1%,5.5%,Not Available,Not Available,Not Available,Not Available,8.7%,3.2%,Not Available,8.4%,Not Available,Not Available,11.4%,5.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.4%
Рего,,2020-10-21,2020-10-27,National,2000,Provided,Not Available,0.1%,27.1%,Not Available,26.3%,2.8%,Not Available,Not Available,Not Available,Not Available,8.3%,1.1%,Not Available,7.6%,Not Available,Not Available,18.6%,3.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.3%
Тренд,24 часа,2020-10-03,2020-10-10,National,1008,Provided,Not Available,0.1%,24.1%,Not Available,23.6%,3.8%,Not Available,Not Available,Not Available,Not Available,10.2%,1.6%,Not Available,8.8%,Not Available,Not Available,15.9%,3.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.1%
Gallup,,2020-10-01,2020-10-09,National,803,Provided,Not Available,0.1%,19.1%,Not Available,19.8%,3.4%,Not Available,Not Available,Not Available,Not Available,10.1%,2.6%,Not Available,7.3%,Not Available,Not Available,12.6%,3.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21.4%
Алфа рисърч,,2020-09-21,2020-09-30,National,1031,Provided,Not Available,0.1%,22.8%,Not Available,21.8%,4.2%,Not Available,Not Available,Not Available,Not Available,11%,0.3%,Not Available,10.5%,Not Available,Not Available,16.6%,5.1%,0.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.8%
Маркет ЛИНКС,,2020-09-18,2020-09-26,National,1058,Provided,Not Available,0.1%,24.6%,Not Available,25.5%,2.8%,Not Available,Not Available,Not Available,Not Available,11.7%,Not Available,Not Available,10%,Not Available,Not Available,17%,4.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.2%
Gallup,,2020-09-03,2020-09-11,National,515,Provided,Not Available,0.1%,20.7%,Not Available,21.2%,2.7%,Not Available,Not Available,Not Available,Not Available,7.6%,1.8%,Not Available,5.2%,Not Available,Not Available,16.4%,4.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Тренд,24 часа,2020-08-29,2020-09-05,National,1008,Provided,Not Available,0.1%,23.8%,Not Available,23.4%,3.9%,Not Available,Not Available,1.1%,0.2%,10.4%,1.2%,Not Available,9.9%,Not Available,Not Available,15.9%,4%,1.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Sova Harris,,2020-08-19,2020-08-25,National,1000,Provided,64.2%,0.1%,Not Available,27.7%,24.5%,Not Available,3.7%,0.6%,0.9%,1.1%,9.2%,3.0%,Not Available,7.0%,Not Available,Not Available,15.7%,4.5%,0.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0%
Тренд,24 часа,2020-08-03,2020-08-10,National,1010,Provided,Not Available,0.1%,24.2%,Not Available,22.9%,4.1%,Not Available,Not Available,1.1%,0.2%,9.8%,1.2%,Not Available,10.1%,Not Available,Not Available,14.9%,4.4%,0.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.8%
Gallup,,2020-07-30,2020-08-07,National,811,Provided,66.0%,0.1%,22.0%,Not Available,21.1%,3.5%,Not Available,Not Available,Not Available,Not Available,10.3%,Not Available,Not Available,8.6%,Not Available,Not Available,12.0%,3.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16.5%
Център за анализи и маркетинг,,2020-08-01,2020-08-05,National,1021,Provided,Not Available,0.1%,Not Available,30.1%,19.7%,4.3%,Not Available,Not Available,Not Available,Not Available,10.8%,2.1%,Not Available,10.1%,Not Available,Not Available,13.9%,5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.9%
Маркет ЛИНКС,bTV,2020-07-28,2020-08-03,National,1093,Provided,65.3%,0.1%,23.3%,Not Available,20.7%,4.6%,Not Available,Not Available,Not Available,Not Available,9.6%,Not Available,Not Available,10.1%,Not Available,Not Available,23.0%,4.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.7%
Gallup,,2020-07-01,2020-07-31,National,Not Available,Not Available,Not Available,0.1%,27.36%,Not Available,25.75%,4.45%,Not Available,Not Available,Not Available,Not Available,8.49%,2.43%,Not Available,3.23%,Not Available,Not Available,8.63%,1.75%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.92%
Алфа рисърч,Дневник,2020-07-23,2020-07-30,National,1017,Provided,54.3%,0.1%,26.7%,Not Available,19.2%,4.1%,Not Available,Not Available,Not Available,Not Available,8.3%,0.9%,Not Available,12.3%,Not Available,Not Available,18.8%,5.9%,0.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.3%
Sova Harris,,2020-06-26,2020-07-01,National,1000,Provided,57.0%,0.1%,37.4%,Not Available,21.4%,Not Available,6.8%,0.7%,1.2%,1.8%,7.7%,4.2%,Not Available,4.2%,Not Available,Not Available,9.1%,2.6%,2.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Gallup,,2020-06-01,2020-06-30,National,Not Available,Not Available,Not Available,0.1%,29.04%,Not Available,23.13%,3.81%,Not Available,Not Available,Not Available,Not Available,7.88%,2.37%,Not Available,3.15%,Not Available,Not Available,6.96%,2.37%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21.29%
Маркет ЛИНКС,bTV,2020-05-27,2020-06-03,National,995,Provided,82.0%,0.1%,34.1%,Not Available,25.6%,Not Available,3.7%,Not Available,Not Available,Not Available,9.8%,Not Available,Not Available,8.5%,Not Available,Not Available,9.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.5%
Алфа рисърч,Дневник,2020-04-28,2020-05-05,National,1000,Provided,62.2%,0.1%,33.4%,Not Available,19.6%,6.3%,Not Available,Not Available,1.4%,Not Available,10.3%,1.6%,Not Available,5.9%,Not Available,Not Available,14.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.8%
Медиана,,2020-02-21,2020-02-28,National,1008,Provided,Not Available,0.1%,29.4%,Not Available,25.74%,5.83%,Not Available,Not Available,Not Available,Not Available,13.28%,1.9%,Not Available,2.71%,Not Available,Not Available,12.87%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.26%
Тренд,24 часа,2020-02-03,2020-02-10,National,1007,Provided,63.9%,0.1%,31.8%,Not Available,28.3%,Not Available,4.1%,Not Available,1.6%,Not Available,10.5%,2.0%,Not Available,6.3%,Not Available,Not Available,11.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.7%
Алфа рисърч,Дневник,2019-12-05,2019-12-12,National,1017,Provided,72.7%,0.1%,29.8%,Not Available,25.0%,7.3%,Not Available,Not Available,1.9%,Not Available,10.7%,2.1%,Not Available,7.0%,Not Available,Not Available,11.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.3%
Маркет ЛИНКС,bTV,2019-11-21,2019-11-28,National,980,Provided,63.0%,0.1%,28.6%,Not Available,25.4%,6.3%,Not Available,Not Available,Not Available,Not Available,12.7%,1.6%,Not Available,7.9%,Not Available,Not Available,12.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.2%
Тренд,24 часа,2019-11-07,2019-11-15,National,1008,Provided,64.3%,0.1%,37.0%,Not Available,28.6%,Not Available,5.3%,Not Available,1.7%,Not Available,10.7%,1.9%,Not Available,4.8%,Not Available,Not Available,7.9%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.0%
Алфа рисърч,Дневник,2019-09-10,2019-09-16,National,1023,Provided,72.6%,0.1%,29.6%,Not Available,25.8%,6.6%,Not Available,Not Available,2.6%,Not Available,11.8%,2.8%,Not Available,5.6%,Not Available,Not Available,11.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.7%
Тренд,24 часа,2019-07-05,2019-07-12,National,1008,Provided,62.5%,0.1%,38.1%,Not Available,30.2%,Not Available,5.8%,2.1%,1.8%,Not Available,11.4%,1.9%,Not Available,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.5%
Маркет ЛИНКС,bTV,2019-06-11,2019-06-19,National,1001,Provided,87.7%,0.1%,34.9%,Not Available,33.0%,6.8%,Not Available,Not Available,Not Available,Not Available,9.1%,3.8%,Not Available,6.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.4%
Тренд,,2019-06-05,2019-06-12,National,1008,Provided,Not Available,0.1%,36.7%,Not Available,29.1%,7.4%,Not Available,Not Available,Not Available,Not Available,10.9%,2%,Not Available,5.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.8%
Медиана,,2019-05-02,2019-05-07,European,1008,Provided,Not Available,1%,30%,Not Available,32%,Not Available,5%,4%,3%,4%,11%,5%,Not Available,3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Алфа рисърч,Дневник,2019-04-20,2019-04-30,European,1015,Provided,Not Available,1%,33%,Not Available,33%,Not Available,6%,2%,1%,1%,10%,2%,Not Available,5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Маркет ЛИНКС,,2019-04-12,2019-04-22,European,1049,Provided,Not Available,0.1%,35.4%,Not Available,35.9%,Not Available,5.7%,Not Available,Not Available,Not Available,7.0%,1.9%,Not Available,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.8%
Тренд,24 часа,2019-04-05,2019-04-12,European,1008,Provided,Not Available,0.1%,30.5%,Not Available,31.3%,Not Available,5.5%,1.3%,2.0%,1.3%,12.7%,3.6%,Not Available,4.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.5%
Gallup,,2019-04-05,2019-04-11,European,1015,Provided,Not Available,0.1%,30.4%,Not Available,31.5%,Not Available,4.9%,1.4%,1.9%,1.5%,10.9%,3.4%,2.0%,4.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.8%
Алфа рисърч,Дневник,2019-03-22,2019-03-26,European,1011,Provided,Not Available,0.1%,33.9%,Not Available,33.4%,Not Available,4.1%,2.2%,2.1%,1.2%,10.6%,1.9%,Not Available,5.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.5%
Тренд,24 часа,2019-03-06,2019-03-13,European,1005,Provided,Not Available,0.1%,33.6%,Not Available,30.4%,Not Available,4.4%,1.8%,2.3%,Not Available,12.1%,3.2%,Not Available,4.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.8%
Sova Harris,,2019-03-06,2019-03-11,European,1000,Provided,Not Available,0.1%,38.2%,Not Available,30.6%,Not Available,3.0%,1.3%,3.0%,1.3%,11.5%,3.3%,Not Available,3.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.6%
AFIS,,2019-02-22,2019-02-28,European,1010,Provided,Not Available,0.1%,31.6%,Not Available,37.5%,7.3%,Not Available,Not Available,Not Available,Not Available,13.0%,Not Available,Not Available,1.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.0%
